url,title,type,layout,rent_area,rent_price,distance,dist,bc,location,lng,lat,aver_price
https://xa.lianjia.com/zufang/XA2783304552676327424.html,合租·东窑坊 5居室 南卧,合租,5室1厅2,10,650,589m,碑林,城东,西安市碑林区东窑坊,109.00171,34.272028,65
https://xa.lianjia.com/zufang/XA2903707993567150080.html,整租·朱雀社区北区 3室1厅 南/北,整租,3室1厅1,77.77,1800,695m,碑林,南稍门,西安市碑林区朱雀社区北区,108.948636,34.255249,23.14517166
https://xa.lianjia.com/zufang/XA2725283031567826944.html,合租·陕西体育馆家属院 4居室 南卧,合租,4室1厅1,19,750,None,碑林,南稍门,西安市碑林区陕西体育馆家属院,108.956016,34.25187,39.47368421
https://xa.lianjia.com/zufang/XA2903709598198808576.html,整租·长安壹栋 1室0厅 东,整租,1室0厅1,60,2300,729m,碑林,南稍门,西安市碑林区长安壹栋,108.955157,34.241415,38.33333333
https://xa.lianjia.com/zufang/XA1565273827460513792.html,整租·珠江时代广场 1室0厅 西,整租,1室0厅1,57,2900,201m,碑林,南稍门,西安市碑林区珠江时代广场,108.955197,34.255113,50.87719298
https://xa.lianjia.com/zufang/XA1565894146479095808.html,整租·德福巷 3室2厅 南/北,整租,3室2厅2,130,2800,699m,碑林,城内,西安市碑林区德福巷,108.950368,34.260156,21.53846154
https://xa.lianjia.com/zufang/XA1565894681894584320.html,整租·德福巷 4室2厅 跃层 南/北,整租,4室2厅2,300,5500,699m,碑林,城内,西安市碑林区德福巷,108.950368,34.260156,18.33333333
https://xa.lianjia.com/zufang/XA1565683632138354688.html,整租·宏信国际花园 4室2厅 东,整租,4室2厅2,400,32000,321m,碑林,南稍门,西安市碑林区宏信国际花园,108.9572,34.256363,80
https://xa.lianjia.com/zufang/XA2737499256834228224.html,合租·天伦御城龙脉刘家庄小区 4居室 南卧,合租,4室1厅1,18,750,682m,碑林,城东,西安市碑林区天伦御城龙脉刘家庄小区,108.943164,34.256609,41.66666667
https://xa.lianjia.com/zufang/XA1566046559483723776.html,整租·和平公馆 1室0厅 东北,整租,1室0厅1,45,1550,403m,碑林,城内,西安市碑林区和平公馆,108.969223,34.262971,34.44444444
https://xa.lianjia.com/zufang/XA1565550619131904000.html,合租·伊顿公馆东区 4居室 南卧,合租,4室1厅1,28,950,489m,碑林,城西,西安市碑林区伊顿公馆东区,108.928463,34.245644,33.92857143
https://xa.lianjia.com/zufang/XA2903486333064585216.html,整租·宏信国际花园 3室2厅 南,整租,3室2厅2,138,5500,321m,碑林,南稍门,西安市碑林区宏信国际花园,108.9572,34.256363,39.85507246
https://xa.lianjia.com/zufang/XA1565557987794223104.html,整租·兰蒂斯城3期 3室2厅 西南,整租,3室2厅2,145.74,4000,427m,碑林,城东,西安市碑林区兰蒂斯城3期,108.998026,34.252037,27.44613696
https://xa.lianjia.com/zufang/XA1565590155635458048.html,整租·陕建十一建集团边西街小区 2室1厅 南/北,整租,2室1厅1,65,1500,589m,碑林,黄雁村,西安市碑林区陕建十一建集团边西街小区,108.933271,34.25093,23.07692308
https://xa.lianjia.com/zufang/XA1565598782094049280.html,整租·大话南门 2室1厅 东,整租,2室1厅1,89,3200,915m,碑林,南稍门,西安市碑林区大话南门,108.954973,34.246207,35.95505618
https://xa.lianjia.com/zufang/XA1565659016300855296.html,整租·西安市八十八号信箱家属院 2室2厅 南/北,整租,2室2厅1,66.77,1800,435m,碑林,李家村,西安市碑林区西安市八十八号信箱家属院,108.971152,34.25279,26.95821477
https://xa.lianjia.com/zufang/XA1566031244565676032.html,整租·水文巷附２号 3室0厅 南/北,整租,3室0厅1,80,2200,612m,碑林,黄雁村,西安市碑林区水文巷附２号,108.935455,34.243673,27.5
https://xa.lianjia.com/zufang/XA1566268370028855296.html,整租·珠江时代广场 1室0厅 北,整租,1室0厅1,50,2750,201m,碑林,南稍门,西安市碑林区珠江时代广场,108.955197,34.255113,55
https://xa.lianjia.com/zufang/XA2833166556999974912.html,合租·太白北路103号 5居室 南卧,合租,5室0厅2,20,780,579m,碑林,黄雁村,西安市碑林区太白北路103号,108.930272,34.245065,39
https://xa.lianjia.com/zufang/XA2905764787923730432.html,整租·索罗巷95号院 3室0厅 南/北,整租,3室0厅1,75,1200,None,碑林,城东,西安市碑林区索罗巷95号院,108.988284,34.266318,16
https://xa.lianjia.com/zufang/XA2845544923984838656.html,合租·民政局家属院 5居室 南卧,合租,5室1厅2,15,550,None,碑林,黄雁村,西安市碑林区民政局家属院,108.981691,34.245365,36.66666667
https://xa.lianjia.com/zufang/XA2905764212498776064.html,整租·云龙大厦 2室1厅 南,整租,2室1厅1,72,2100,1004m,碑林,城内,西安市碑林区云龙大厦,108.959962,34.263883,29.16666667
https://xa.lianjia.com/zufang/XA2905183939222585344.html,整租·盛城东星 2室1厅 北,整租,2室1厅1,72,2400,1084m,碑林,城东,西安市碑林区盛城东星,108.990166,34.271833,33.33333333
https://xa.lianjia.com/zufang/XA2833166555498684416.html,合租·太白北路103号 5居室 南卧,合租,5室0厅2,25,830,579m,碑林,黄雁村,西安市碑林区太白北路103号,108.930272,34.245065,33.2
https://xa.lianjia.com/zufang/XA2906342881797079040.html,整租·宏信国际花园 1室1厅 南/北,整租,1室1厅1,55,3000,321m,碑林,南稍门,西安市碑林区宏信国际花园,108.9572,34.256363,54.54545455
